,Order,Size,Average Degree,Diameter,Sparsity,Coherence
0,5,4,1.6,3.0,0.6,0.8786646207360618
1,6,5,1.667,4.0,0.667,0.8835417593897188
2,9,8,1.778,4.0,0.778,0.7380783518598335
3,10,9,1.8,4.0,0.8,0.8648300042129583
4,13,12,1.846,4.0,0.846,6.075766707448758e-06
5,6,5,1.667,4.0,0.667,0.8809313023821268
6,5,4,1.6,3.0,0.6,0.8789782936465323
7,7,6,1.714,4.0,0.714,0.8401239103487895
8,9,8,1.778,4.0,0.778,0.8908063235881228
9,9,8,1.778,4.0,0.778,0.7029176254189252
10,11,10,1.818,3.5,0.818,0.0036613332126445206
11,20,18,1.8,4.0,0.905,3.094140821052492e-08
12,7,6,1.714,4.0,0.714,0.8149907243269626
13,14,13,1.857,6.0,0.857,0.003158034739479222
14,8,7,1.75,4.0,0.75,0.9092876803514273
15,5,4,1.6,3.0,0.6,0.8794018644819013
16,14,14,2.0,3.5,0.846,5.274495081865339e-06
17,6,5,1.667,3.0,0.667,0.823488548009631
18,15,13,1.733,3.5,0.876,0.00024300224346636597
19,5,4,1.6,3.0,0.6,0.8793602783112267
20,5,4,1.6,3.0,0.6,0.8771842650701439
21,10,9,1.8,4.0,0.8,0.5728245392103057
22,6,5,1.667,3.0,0.667,0.8253226393315845
23,23,23,2.0,5.0,0.909,8.410504696396619e-05
24,19,19,2.0,4.0,0.889,0.0017096618290513626
25,9,10,2.222,4.0,0.722,5.519974038206702e-37
26,13,14,2.154,6.0,0.821,0.0008133155772894212
27,15,17,2.267,4.0,0.838,7.52584418097894e-14
28,22,26,2.364,5.0,0.887,2.1785340973389272e-25
29,14,15,2.143,4.0,0.835,1.9975152929765895e-08
30,21,22,2.095,8.0,0.895,2.2834548875018422e-06
31,11,12,2.182,6.0,0.782,2.7646958517055156e-24
32,26,24,1.846,3.3333333333333335,0.926,6.727393749183914e-06
33,18,18,2.0,4.0,0.882,0.0031596500020198903
34,8,9,2.25,4.0,0.679,0.18018079646327748
35,20,20,2.0,4.0,0.895,2.4132516855900935e-05
36,9,10,2.222,5.0,0.722,0.0034834264298214757
37,9,10,2.222,5.0,0.722,5.637205194985554e-21
38,13,14,2.154,4.0,0.821,8.737791404197988e-09
39,25,27,2.16,5.0,0.91,8.47290660979865e-05
40,22,23,2.091,6.0,0.9,0.0396726842318543
41,26,27,2.077,5.0,0.917,8.029239863542102e-05
42,23,23,2.0,4.0,0.909,0.0013792851663561962
43,8,9,2.25,4.0,0.679,0.11235997810519562
44,13,14,2.154,6.0,0.821,1.6608454474461988e-05
45,9,10,2.222,6.0,0.722,5.910651529177663e-20
46,25,25,2.0,4.5,0.917,7.11035667816722e-36
47,10,11,2.2,4.0,0.756,2.5173744845311824e-67
48,28,33,2.357,9.0,0.913,0.0002815529294116288
49,27,27,2.0,4.0,0.923,5.291074291096166e-05
50,29,30,2.069,5.0,0.926,4.078750836130028e-36
51,36,39,2.167,4.25,0.938,8.441257879962152e-42
52,14,15,2.143,4.0,0.835,1.552664526172203e-05
53,14,15,2.143,6.0,0.835,7.071303928756832e-11
54,26,26,2.0,5.0,0.92,1.0846488405767984e-53
55,16,17,2.125,5.0,0.858,1.3880355436753464e-09
56,21,23,2.19,4.0,0.89,2.0243325316821425e-06
57,16,18,2.25,6.0,0.85,0.00022222159338779128
58,14,15,2.143,4.0,0.835,0.0005024097448884802
59,9,9,2.0,5.0,0.75,1.1543263319070655e-34
