,Order,Size,Average Degree,Diameter,Sparsity,Coherence
0,155,503,6.49,8.0,0.958,0.5723740818114327
1,242,763,6.306,8.0,0.974,0.10512073448731542
2,213,749,7.033,13.0,0.967,0.6696186903397515
3,332,1241,7.476,11.0,0.977,0.7269310878169687
4,136,400,5.882,11.0,0.956,0.14442775927506868
5,174,658,7.563,6.0,0.956,0.1334471937555195
6,416,1719,8.264,5.0,0.98,0.9026698128949929
7,185,654,7.07,10.0,0.962,0.05448228287783567
8,158,545,6.899,8.0,0.956,0.1613578534600504
9,254,868,6.835,5.0,0.973,0.9231225029190498
10,186,663,7.129,9.0,0.961,0.8710196735254296
11,221,720,6.516,5.0,0.97,0.08257442752983563
12,164,556,6.78,12.0,0.958,0.4732648103725583
13,194,586,6.041,13.0,0.969,0.1978692275524828
14,152,463,6.092,8.0,0.96,0.7042340239149889
15,160,593,7.412,4.5,0.953,0.019076499760060928
16,129,371,5.752,12.0,0.955,0.017852139608053524
17,172,536,6.233,7.0,0.964,0.13673008265480616
18,172,607,7.058,8.0,0.959,0.0014132037460520886
19,263,914,6.951,10.0,0.973,0.8893258527729071
20,132,440,6.667,8.0,0.949,0.10867553694785928
21,191,587,6.147,5.0,0.968,0.8703017786123627
22,97,271,5.588,4.0,0.942,0.009008188574662757
23,112,319,5.696,9.0,0.949,0.0748398471410063
24,98,244,4.98,8.0,0.949,0.24825391911867323
25,141,496,7.035,9.0,0.95,0.7832914531063343
26,129,381,5.907,10.0,0.954,0.328399557889869
27,204,680,6.667,8.0,0.967,0.05766206018810808
28,151,534,7.073,10.0,0.953,0.4833104372279015
29,132,316,4.788,10.0,0.963,0.03175652393073105
30,104,260,5.0,3.5,0.951,0.11022095963534774
31,137,430,6.277,7.0,0.954,0.10738492394623278
32,105,295,5.619,12.0,0.946,0.6290441033619824
33,131,414,6.321,4.5,0.951,0.09350175120640723
34,111,231,4.162,11.0,0.962,0.19125534643012748
35,271,952,7.026,8.0,0.974,0.8433111343243597
36,131,398,6.076,10.0,0.953,0.1055670845318376
37,171,486,5.684,5.0,0.967,0.12869651316545197
38,114,262,4.596,10.0,0.959,0.5175161910327937
39,149,430,5.772,7.0,0.961,0.5669826071073246
40,170,605,7.118,7.5,0.958,0.17498002894645678
41,116,348,6.0,9.0,0.948,0.06141575571307926
42,79,161,4.076,9.0,0.948,0.1639797375487423
43,148,401,5.419,5.5,0.963,0.45164782843537893
44,81,220,5.432,4.5,0.932,0.027896419351047103
45,106,283,5.34,11.0,0.949,0.11408567497441215
46,106,293,5.528,7.0,0.947,0.027953490522868968
47,80,196,4.9,10.0,0.938,0.18033984797083102
48,83,241,5.807,3.5,0.929,0.0019840374218401914
49,90,202,4.489,10.0,0.95,0.16238100907808106
50,73,126,3.452,8.0,0.952,0.886910056042867
51,139,404,5.813,8.0,0.958,0.057071237695564284
52,262,963,7.351,9.0,0.972,0.8677263244910134
53,368,1507,8.19,10.0,0.978,0.9094695484489411
54,112,264,4.714,12.0,0.958,0.00014328216643698982
55,113,302,5.345,8.0,0.952,0.345755839056208
56,102,258,5.059,4.5,0.95,0.1432876453823101
57,103,239,4.641,9.0,0.955,0.13468894295725561
58,98,276,5.633,6.0,0.942,0.17424460922751644
59,90,196,4.356,9.0,0.951,0.07039665579601517
